premise,hypothesis,gold_label,predicted_label
"For this report, we provide an overview of the major theories about why people save and describe various factors associated with the decline in personal saving.",Nobody has any codified ideas as to why people might save.,contradiction,contradiction
His heels clicked together.,His heels had hurt after clicking.,neutral,contradiction
"A button on the Chatterbox page will make this easy, so please do join in.",They had to submit a written request before being accepted.,contradiction,contradiction
uh yeah they were uh they were very good i was impressed,They were impressive to me.,entailment,entailment
"Along the eastern coastline are several fine beaches with perfect windsurfing conditions in their wide, shallow bays.",There are many fine beaches along the shallow bays.,entailment,neutral
"Two, most other productive operations are easier to study and understand, since few firms have 40,000 locations and a large proportion of their workforce working outdoors.",The productivity of the operations is directly related to the workforce that's based outdoors.,neutral,neutral
"Initial demand for land in the New Town was not spectacular; in fact, incentives had to be offered to entice buyers.",Buyers were offered incentives to persuade them to buy land in New Town.,entailment,entailment
"Still, it would be interesting to know. 109 Poirot looked at me very earnestly, and again shook his head. ",Poirot was disappointed with me.,neutral,neutral
This man claims that he has been robbed en route and is stranded without money or his plane ticket in an airport somewhere in Europe or the Middle East.,He claimed he was robbed and left with no money or a plane ticket but quickly solved the problem.,neutral,contradiction
"The public health official's version of the line, Take my wife, please, is Tell Americans to eat kale five times a week.",Public health authorities believe that people should eat kale many times a week.,entailment,entailment
I've always jumped on sentiment and here I am being more sentimental than anybody.,"Now that I've experienced being sentimental, I'm starting to like it.",neutral,contradiction
The pieces are unloaded and fed into sorting machines.,They were unloaded but not sorted,contradiction,contradiction
Impossible.,Cannot be done.,entailment,entailment
This popular show spawned the aquatic show at the Bellagio.,This popular show is unrelated to the origins of Bellogio's water display.,contradiction,contradiction
"In 392 the Emperor Theodosius proclaimed Christianity to be the official religion of the Roman Empire, and on his death in 395 the empire was split once more, between his two sons, and was never again to be reunited.","The Emperor Theodosius, in 392, proclaimed Christianity to be the official religion of the Roman Empire.",entailment,entailment
Any point you failed to win by rigging the questions and categories can be cleaned up in the executive summary (the pollster's spin) and the press release and news conference (the client's spin on the pollster's spin).,Any point you didn't get by fixing the questions can be added to the executive summary.,entailment,entailment
And these are tough times for reviewers in general.,Specialist reviewers or reviewers with seniority are having an easier time of it.,neutral,contradiction
